name,scientific_name,family,region,benefits,side_effects,toxicity,usage,english_name
Himsra,Capparis sepiaria,Capparaceae,,Supports liver and spleen health|Supports spleen health|Supports abdominal health|Helps manage hemorrhoids|Stimulates weak digestion|Stimulates liver function|Stimulates digestion and appetite,,low,internal,Caper Bush
Hingu,Ferula assa-foetida,Apiaceae,,Supports abdominal health|Relieves bloating|Relieves pain|Supports intestinal parasite management|Aids digestion|Stimulates digestion and appetite|Aids digestion of food and toxins|Supports healthy elimination of gas,,low,internal,Asafoetida
Hrivera,Coleus vettiveroides,Lamiaceae,,Helps reduce fever|Helps manage diarrhea|Relieves burning sensation|Quenches excessive thirst|Helps manage vomiting|Improves nutrient absorption and helps manage diarrhea|Stimulates digestion and appetite,,low,internal,Black Vetiver
Ikshu,Saccharum officinarum,Poaceae,,Relieves burning sensation|Quenches excessive thirst|Cools and soothes heat-related bleeding|Supports recovery in debility|Promotes healthy urine flow,,low,internal,Sugarcane
Indravaruni,Citrullus colocynthis,Cucurbitaceae,,Supports liver health|Supports spleen health|Supports abdominal health|Supports intestinal parasite management|Relieves constipation|Purgative (professional use only)|Antimicrobial and antiparasitic action,,low,internal,Colocynth
Indrayava,Holarrhena antidysenterica,Apocynaceae,,Helps manage diarrhea|Helps manage dysentery|Cools and soothes heat-related bleeding|Helps reduce fever|Supports intestinal parasite management|Improves nutrient absorption and helps manage diarrhea|Antimicrobial and antiparasitic action|Purifies the blood,,low,internal,Conessi Seeds
Ingudi,Balanites aegyptiaca,Balanitaceae,,Supports skin health in chronic conditions|Promotes wound healing|Supports intestinal parasite management|Relieves itching|Eases breathing and respiratory discomfort|Antimicrobial and antiparasitic action,,low,internal,Desert Date
Ishabgula,Plantago ovata,Plantaginaceae,,Relieves constipation|Helps manage diarrhea|Helps manage dysentery|Supports stomach lining comfort|Purgative (professional use only)|Improves nutrient absorption and helps manage diarrhea,,low,internal,Psyllium Husk
Ishwari,Aristolochia indica,Aristolochiaceae,,Traditionally used in Ayurvedic management of toxins|Traditionally used in Ayurvedic management of venom exposure|Helps reduce fever|Supports intestinal parasite management|Promotes wound healing|Supports detoxification from poisons,,low,internal,Indian Birthwort
Jalapippali,Phyla nodiflora,Verbenaceae,,Helps manage bleeding hemorrhoids|Relieves dizziness|Relieves burning sensation|Helps reduce fever|Promotes healthy urine flow,,low,internal,Frog Fruit
Jalavetasa,Salix tetrasperma,Salicaceae,,Reduces swelling|Relieves pain|Cools and soothes heat-related bleeding|Helps reduce fever|Helps manage hemorrhoids,,low,internal,Indian Willow
Jambu,Syzygium cumini,Myrtaceae,,Supports urinary health (including diabetes care)|Helps manage diarrhea|Cools and soothes heat-related bleeding|Helps manage dysentery|Helps manage vomiting|Improves nutrient absorption and helps manage diarrhea|Supports healthy blood sugar,,low,internal,Black Plum
Jatamansi,Nardostachys jatamansi,Valerianaceae,,Supports mental calm|Supports nervous system health|Promotes sleep|Supports mental calm and wellbeing|Supports memory and intellect|Rejuvenating; promotes vitality and immunity|Relieves pain,,low,internal,Spikenard
Jati,Jasminum grandiflorum,Oleaceae,,Supports oral and throat health|Supports dental health and eases toothache|Promotes wound healing|Supports skin health in chronic conditions|Supports intestinal parasite management|Relieves pain|Relieves cough,,low,internal,Spanish Jasmine
Jatiphala,Myristica fragrans,Myristicaceae,,Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Eases breathing and respiratory discomfort|Eases cough|Promotes sleep|Stimulates digestion and appetite|Improves nutrient absorption and helps manage diarrhea,,low,internal,Nutmeg
Jayapala,Croton tiglium,Euphorbiaceae,,Supports abdominal health|Helps reduce fever|Relieves constipation|Supports fluid balance (adjunct care)|Purgative (professional use only),,low,internal,Purging Croton
Jeeraka,Cuminum cyminum,Apiaceae,,Aids digestion|Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Supports abdominal health|Supports intestinal parasite management|Stimulates digestion and appetite|Aids digestion of food and toxins|Improves nutrient absorption and helps manage diarrhea,,low,internal,Cumin Seeds
Jivaka,Malaxis acuminata,Orchidaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Builds strength|Relieves fatigue|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Rejuvenating and vitalizing,,low,internal,Jivaka Orchid
Jivanti,Leptadenia reticulata,Apocynaceae,,Supports recovery in debility|Builds strength|Supports eye health|Cools and soothes heat-related bleeding|Soothes vata-related disorders|Supports breast milk production,,low,internal,Cork Swallow-wort
Jyotishmati,Celastrus paniculatus,Celastraceae,,Supports memory|Soothes vata-related disorders|Supports male reproductive health|Supports skin health in chronic conditions|Relieves itching|Supports memory and intellect|Purgative (professional use only)|Stimulates digestion and appetite,,low,internal,Intellect Tree
Kachura,Curcuma zedoaria,Zingiberaceae,,Eases breathing and respiratory discomfort|Eases cough|Improves taste and appetite|Relieves hiccups|Promotes wound healing|Eases breathing|Soothes excess vata,,low,internal,Zedoary
Kadali,Musa paradisiaca,Musaceae,,Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Quenches excessive thirst|Relieves burning sensation|Supports urinary health|Improves nutrient absorption and helps manage diarrhea|Builds strength and stamina,,low,internal,Banana
Kadamba,Neolamarckia cadamba,Rubiaceae,,Helps reduce fever|Promotes wound healing|Relieves burning sensation|Cools and soothes heat-related bleeding,,low,internal,Burflower Tree
Kadara,Senegalia suma,Fabaceae,,Supports skin health in chronic conditions|Relieves itching|Supports urinary health (including diabetes care)|Purifies the blood|Supports oral health (mouth ulcers),,low,internal,White Cutch Tree
Kakajangha,Peristrophe paniculata,Acanthaceae,,Helps reduce fever|Reduces swelling|Promotes wound healing|Cools and soothes heat-related bleeding|Supports intestinal parasite management,,low,internal,Panicled Peristrophe
Kakatikta,Luffa amara,Cucurbitaceae,,Supports liver health|Supports liver and spleen health|Supports abdominal health|Relieves constipation|Reduces swelling|Stimulates liver function|Purgative (professional use only),,low,internal,Wild Bitter Luffa
Kakoli,Fritillaria roylei,Liliaceae,,Supports recovery in debility|Eases breathing and respiratory discomfort|Eases cough|Cools and soothes heat-related bleeding|Quenches excessive thirst|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Rejuvenating and vitalizing,,low,internal,Roscoe's Lily
Kalajaji,Nigella sativa,Ranunculaceae,,Supports postpartum recovery|Stimulates weak digestion|Supports abdominal health|Relieves bloating|Supports intestinal parasite management|Stimulates digestion and appetite|Cleanses the uterus,,low,internal,Black Caraway
Kalamba,Ipomoea aquatica,Convolvulaceae,,Supports breast milk production|Builds strength|Relieves constipation|Cools and soothes heat-related bleeding|Builds strength and stamina,,low,internal,Water Spinach
Kamala,Nelumbo nucifera,Nelumbonaceae,,Cools and soothes heat-related bleeding|Relieves burning sensation|Quenches excessive thirst|Supports skin health in spreading rashes|Supports heart health|Promotes healthy skin complexion|Improves nutrient absorption and helps manage diarrhea,,low,internal,Sacred Lotus
Kampillaka,Mallotus philippensis,Euphorbiaceae,,Supports intestinal parasite management|Supports skin health in chronic conditions|Promotes wound healing|Supports abdominal health|Antimicrobial and antiparasitic action,,low,internal,Kamala Tree
Kanchanar,Bauhinia variegata,Fabaceae,,Supports lymphatic health|Supports glandular health|Supports management of growths (traditional use; not a substitute for medical care)|Helps reduce excess fat|Reduces swelling|Helps resolve glandular swellings,,low,internal,Orchid Tree
Kankataka,Flacourtia indica,Salicaceae,,Stimulates weak digestion|Eases cough|Eases breathing and respiratory discomfort|Supports liver health|Stimulates digestion and appetite|Relieves cough,,low,internal,Governor's Plum
Kankola,Piper cubeba,Piperaceae,,Supports oral and throat health|Improves taste and appetite|Supports heart health|Eases cough|Promotes healthy urine flow|Stimulates digestion and appetite,,low,internal,Cubeb Pepper
Kankra,Bruguiera gymnorhiza,Rhizophoraceae,,Helps manage diarrhea|Promotes wound healing|Helps manage dysentery|Helps control excess discharge or bleeding,,low,internal,Large-leafed Mangrove
Kantakari,Solanum surattense,Solanaceae,,Eases cough|Eases breathing and respiratory discomfort|Helps reduce fever|Relieves nasal congestion and cold|Eases flank pain|Eases breathing|Relieves cough,,low,internal,Yellow-berried Nightshade
Kapikachhu,Mucuna pruriens,Fabaceae,,Supports male reproductive health|Soothes vata-related disorders|Eases tremors|Builds strength|Supports recovery in debility|Supports reproductive vitality|Builds strength and stamina|Supports memory and intellect,,low,internal,Velvet Bean
Kapittha,Limonia acidissima,Rutaceae,,Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Relieves hiccups|Helps manage vomiting|Traditionally used in Ayurvedic management of toxins|Improves nutrient absorption and helps manage diarrhea|Stimulates digestion and appetite,,low,internal,Wood Apple
Karanja,Pongamia pinnata,Fabaceae,,Supports skin health in chronic conditions|Supports intestinal parasite management|Promotes wound healing|Helps manage hemorrhoids|Supports healthy elimination|Cleanses wounds|Antimicrobial and antiparasitic action,Seeds are toxic; external use preferred,medium,external,Indian Beech
Karavira,Nerium oleander,Apocynaceae,,Supports skin health in chronic conditions|Promotes wound healing|Relieves itching|Supports intestinal parasite management|Supports urogenital health in chronic conditions|Cleanses wounds,,low,internal,Oleander
Karira,Capparis decidua,Capparaceae,,Supports joints in inflammatory conditions|Stimulates weak digestion|Helps manage hemorrhoids|Supports skin health in chronic conditions|Reduces swelling|Stimulates digestion and appetite|Soothes excess vata,,low,internal,Caperberry
Karkatashringi,Pistacia integerrima,Anacardiaceae,,Eases cough|Eases breathing and respiratory discomfort|Relieves hiccups|Helps manage diarrhea|Helps reduce fever|Relieves cough|Eases breathing|Improves nutrient absorption and helps manage diarrhea,,low,internal,Crab's Claw
Karmaranga,Averrhoa carambola,Oxalidaceae,,Improves taste and appetite|Stimulates weak digestion|Quenches excessive thirst|Relieves constipation|Stimulates digestion and appetite|Purgative (professional use only),,low,internal,Star Fruit
Karnikara,Pterospermum acerifolium,Malvaceae,,Promotes wound healing|Cools and soothes heat-related bleeding|Relieves headache|Supports skin health in chronic conditions|Reduces swelling,,low,internal,Dinner Plate Tree
Karpasa,Gossypium herbaceum,Malvaceae,,Supports breast milk production|Supports regular menstruation|Relieves dizziness|Builds strength|Builds strength and stamina,,low,internal,Levant Cotton
Karpura,Cinnamomum camphora,Lauraceae,,Eases cough|Eases breathing and respiratory discomfort|Relieves itching|Quenches excessive thirst|Supports oral and throat health|Relieves cough|Eases breathing|Antimicrobial and antiparasitic action,,low,internal,Camphor
Karvellaka,Momordica charantia,Cucurbitaceae,,Supports urinary health (including diabetes care)|Supports skin health in chronic conditions|Supports intestinal parasite management|Supports liver health|Purifies the blood|Supports healthy blood sugar|Stimulates liver function,,low,internal,Bitter Gourd
Kasamarda,Senna occidentalis,Fabaceae,,Eases cough|Eases breathing and respiratory discomfort|Supports skin health in chronic conditions|Supports intestinal parasite management|Promotes wound healing|Relieves cough,,low,internal,Coffee Senna
Kasani,Cichorium intybus,Asteraceae,,Supports liver and spleen health|Supports liver health|Supports spleen health|Stimulates liver function|Promotes healthy urine flow,,low,internal,Chicory
Kasheruka,Scirpus grossus,Cyperaceae,,Relieves burning sensation|Quenches excessive thirst|Cools and soothes heat-related bleeding|Builds strength|Supports reproductive vitality|Promotes healthy urine flow,,low,internal,Greater Club Rush
Kataka,Strychnos potatorum,Loganiaceae,,Supports eye health|Supports urinary health (including diabetes care)|Traditionally used in Ayurvedic management of toxins|Supports detoxification from poisons,,low,internal,Clearing Nut Tree
Katphala,Myrica esculenta,Myricaceae,,Eases cough|Eases breathing and respiratory discomfort|Helps reduce fever|Improves taste and appetite|Supports oral and throat health|Relieves cough,,low,internal,Bayberry
Katuki,Picrorhiza kurroa,Plantaginaceae,,Supports liver health|Helps reduce fever|Supports liver and spleen health|Supports skin health in chronic conditions|Improves taste and appetite|Soothes excess pitta|Stimulates liver function,,low,internal,Kutki
Kembuka,Hellenia speciosa,Costaceae,,Eases cough|Eases breathing and respiratory discomfort|Supports skin health in chronic conditions|Supports intestinal parasite management|Supports urinary health (including diabetes care)|Relieves cough,,low,internal,Crepe Ginger
Ketaki,Pandanus odorifer,Pandanaceae,,Supports eye health|Supports skin health in chronic conditions|Supports memory and intellect,,low,internal,Fragrant Screw Pine
Khadira,Acacia catechu,Fabaceae,,Supports skin health in chronic conditions|Supports intestinal parasite management|Supports urinary health (including diabetes care)|Cools and soothes heat-related bleeding|Purifies the blood|Improves nutrient absorption and helps manage diarrhea,,low,internal,Cutch Tree
Kharbhuja,Cucumis melo,Cucurbitaceae,,Quenches excessive thirst|Relieves burning sensation|Relieves fatigue|Promotes healthy urine flow|Builds strength and stamina,,low,internal,Muskmelon
Kharjura,Phoenix dactylifera,Arecaceae,,Supports chest and lung recovery|Supports recovery in debility|Cools and soothes heat-related bleeding|Quenches excessive thirst|Supports clarity of mind|Builds strength and stamina|Supports reproductive vitality|Nourishing and weight-building,,low,internal,Date Palm
Kiratatikta,Swertia chirata,Gentianaceae,,Helps reduce fever|Helps manage severe fever|Quenches excessive thirst|Supports intestinal parasite management|Cools and soothes heat-related bleeding|Stimulates digestion and appetite,,low,internal,Chiretta
Kokilaksha,Asteracantha longifolia,Acanthaceae,,Supports joints in gout-like conditions|Supports male reproductive health|Supports reproductive vitality|Builds strength and stamina|Promotes healthy urine flow,,low,internal,Marsh Barbel
Koshamra,Schleichera oleosa,Sapindaceae,,Supports skin health in chronic conditions|Relieves itching|Promotes wound healing|Supports hair growth|Promotes hair health,,low,internal,Ceylon Oak
Koshataki,Luffa acutangula,Cucurbitaceae,,Supports skin health in chronic conditions|Supports liver health|Supports spleen health|Reduces swelling|Supports abdominal health|Stimulates liver function|Purgative (professional use only),,low,internal,Angled Luffa
Krishna Jeeraka,Carum carvi,Apiaceae,,Aids digestion|Supports healthy digestion and nutrient absorption|Relieves bloating|Relieves pain|Supports intestinal parasite management|Stimulates digestion and appetite|Supports eye health,,low,internal,Black Cumin
Kshavaka,Centipeda minima,Asteraceae,,Relieves nasal congestion and cold|Eases cough|Eases breathing and respiratory discomfort|Supports intestinal parasite management|Relieves cough|Relieves pain,,low,internal,Sneezewort
Kulattha,Macrotyloma uniflorum,Fabaceae,,Supports healthy weight management|Eases cough|Eases breathing and respiratory discomfort|Helps dissolve urinary stones|Helps reduce excess fat|Relieves cough,,low,internal,Horse Gram
Kumbhika,Pistia stratiotes,Araceae,,Reduces swelling|Supports skin health in chronic conditions|Promotes wound healing|Cools and soothes heat-related bleeding,,low,internal,Water Lettuce
Kumkuma,Crocus sativus,Iridaceae,,Supports skin clarity|Supports vision|Supports joints in gout-like conditions|Promotes healthy skin complexion|Supports breast milk production,,low,internal,Saffron
Kumuda,Nymphaea alba,Nymphaeaceae,,Relieves burning sensation|Cools and soothes heat-related bleeding|Helps reduce fever|Supports heart health|Cools the blood,,low,internal,White Water Lily
Kurabaka,Barleria cristata,Acanthaceae,,Reduces swelling|Eases joint pain|Cools and soothes heat-related bleeding|Eases cough|Supports skin health in chronic conditions|Relieves pain,,low,internal,Crested Philippine Violet
Kusha,Desmostachya bipinnata,Poaceae,,Cools and soothes heat-related bleeding|Supports menstrual health (heavy bleeding)|Promotes healthy urine flow,,low,internal,Halfa Grass
Kushmanda,Benincasa hispida,Cucurbitaceae,,Supports mental calm|Supports nervous system health|Cools and soothes heat-related bleeding|Relieves burning sensation|Supports memory and intellect|Promotes healthy urine flow|Builds strength and stamina,,low,internal,Ash Gourd
Kushtha,Saussurea costus,Asteraceae,,Soothes vata-related disorders|Eases cough|Eases breathing and respiratory discomfort|Supports skin health in chronic conditions|Relieves itching|Soothes excess vata|Supports reproductive vitality,,low,internal,Costus
Kusumbha,Carthamus tinctorius,Asteraceae,,Helps manage hemorrhoids|Relieves constipation|Purifies the blood|Supports heart health|Relieves nasal congestion and cold|Purgative (professional use only),,low,internal,Safflower
Kutaj,Holarrhena antidysenterica,Apocynaceae,,Helps manage diarrhea|Helps manage dysentery|Supports healthy digestion and nutrient absorption|Helps manage hemorrhoids|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Antimicrobial and antiparasitic action|Relieves pain,,low,internal,Conessi Tree
Lajjalu,Mimosa pudica,Fabaceae,,Cools and soothes heat-related bleeding|Helps manage diarrhea|Promotes wound healing|Supports urinary health (including diabetes care)|Relieves burning sensation|Helps control excess discharge or bleeding,,low,internal,Touch-Me-Not
Laksha,Laccifer lacca,Kerriidae,,Supports bone fracture healing|Promotes wound healing|Cools and soothes heat-related bleeding|Eases cough|Supports skin health in chronic conditions|Supports bone healing|Helps control bleeding,,low,internal,Lac
Lakuca,Artocarpus lacoocha,Moraceae,,Stimulates weak digestion|Supports liver health|Relieves bloating|Purifies the blood|Stimulates digestion and appetite|Stimulates liver function,,low,internal,Monkey Jack
Langali,Gloriosa superba,Colchicaceae,,Supports skin health in chronic conditions|Promotes wound healing|Supports labor|Soothes vata-related disorders|Supports intestinal parasite management|Tones the uterus,,low,internal,Flame Lily
Lata Kasturi,Abelmoschus moschatus,Malvaceae,,Builds strength|Supports heart health|Supports male reproductive health|Supports reproductive vitality|Promotes healthy urine flow,,low,internal,Musk Mallow
Latakaranja,Caesalpinia crista,Fabaceae,,Supports recovery in malarial fever (adjunct care)|Supports intestinal parasite management|Relieves pain|Supports joints in inflammatory conditions|Helps reduce fever|Antimicrobial and antiparasitic action,,low,internal,Fever Nut
Lavali,Phyllanthus acidus,Phyllanthaceae,,Improves taste and appetite|Stimulates weak digestion|Relieves constipation|Quenches excessive thirst|Stimulates digestion and appetite|Purgative (professional use only),,low,internal,Malay Gooseberry
Lodhra,Symplocos racemosa,Symplocaceae,,Supports menstrual health (heavy bleeding)|Cools and soothes heat-related bleeding|Helps manage diarrhea|Supports eye health|Reduces swelling|Purifies and tones the blood|Supports uterine hygiene,,low,internal,Symplocos Tree
Madanaphala,Catunaregam spinosa,Rubiaceae,,Supports skin health in chronic conditions|Supports abdominal health|Helps manage hemorrhoids|Supports glandular health|Emetic (professional use only)|Helps reduce excess fat,,low,internal,Emetic Nut
Madayantika,Lawsonia inermis,Lythraceae,,Supports skin health in chronic conditions|Relieves burning sensation|Supports liver health|Cools and soothes heat-related bleeding|Promotes wound healing,,low,internal,Henna
Madhukarkati,Citrus maxima,Rutaceae,,Supports heart health|Improves taste and appetite|Stimulates weak digestion|Eases breathing and respiratory discomfort|Traditionally used in Ayurvedic management of toxins|Stimulates digestion and appetite,,low,internal,Pomelo
Mahabala,Sida rhombifolia,Malvaceae,,Soothes vata-related disorders|Supports recovery in paralysis (adjunct care)|Builds strength|Supports recovery in debility|Supports chest and lung recovery|Builds strength and stamina|Supports heart health|Rejuvenating; promotes vitality and immunity,,low,internal,Arrowleaf Sida
Mahanimba,Melia azedarach,Meliaceae,,Helps manage hemorrhoids|Supports skin health in chronic conditions|Supports intestinal parasite management|Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Antimicrobial and antiparasitic action|Purifies the blood,,low,internal,Persian Lilac
Makoy,Solanum nigrum,Solanaceae,,Supports liver and spleen health|Supports spleen health|Reduces swelling|Supports heart health|Helps manage hemorrhoids|Stimulates liver function|Supports reproductive vitality,,low,internal,Black Nightshade
Mamsarohini,Soymida febrifuga,Meliaceae,,Helps manage diarrhea|Promotes wound healing|Cools and soothes heat-related bleeding|Builds strength|Helps manage dysentery|Improves nutrient absorption and helps manage diarrhea,,low,internal,Indian Redwood
Mandukparni,Centella asiatica,Apiaceae,,Supports mental calm|Supports nervous system health|Supports skin health in chronic conditions|Supports urinary health|Eases cough|Supports memory and intellect,,low,internal,Gotu Kola
Manjistha,Rubia cordifolia,Rubiaceae,,Supports skin health in chronic conditions|Supports skin health in spreading rashes|Promotes wound healing|Purifies the blood|Supports urinary health (including diabetes care),,low,internal,Indian Madder
Masha,Vigna mungo,Fabaceae,,Soothes vata-related disorders|Supports recovery in debility|Supports male reproductive health|Supports facial nerve comfort|Supports recovery in paralysis (adjunct care)|Builds strength and stamina|Nourishing and weight-building,,low,internal,Black Gram
Mashaparni,Teramnus labialis,Fabaceae,,Soothes vata-related disorders|Supports reproductive vitality|Restores vitality and immunity|Cools and soothes heat-related bleeding|Reduces swelling|Nourishing and weight-building|Builds strength and stamina,,low,internal,Horse Vine
Masura,Lens culinaris,Fabaceae,,Helps manage diarrhea|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Builds strength and stamina,,low,internal,Lentil
Matsyakshi,Alternanthera sessilis,Amaranthaceae,,Cools and soothes heat-related bleeding|Supports skin health in chronic conditions|Eases cough|Supports eye health|Promotes healthy urine flow,,low,internal,Sessile Joyweed
Matulunga,Citrus medica,Rutaceae,,Improves taste and appetite|Aids digestion|Helps manage vomiting|Relieves pain|Supports abdominal health|Stimulates digestion and appetite|Supports healthy elimination of gas,,low,internal,Citron
Mayaphala,Quercus infectoria,Fagaceae,,"Helps manage diarrhea|Cools and soothes heat-related bleeding|Supports oral and throat health|Supports menstrual health (leukorrhea)|Astringent, tones tissues|Helps control excess discharge or bleeding",,low,internal,Magic Nut / Oak Gall
Mayurashikha,Actiniopteris radiata,Pteridaceae,,Helps manage diarrhea|Helps manage dysentery|Cools and soothes heat-related bleeding|Supports intestinal parasite management|Supports urinary health (including diabetes care)|Improves nutrient absorption and helps manage diarrhea|Helps control bleeding,,low,internal,Ray Fern
Meda,Polygonatum cirrhifolium,Asparagaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Builds strength|Soothes vata-related disorders|Rejuvenating; promotes vitality and immunity|Nourishing and weight-building,,low,internal,Tendril-leaved Solomon's Seal
Medasaka,Litsea glutinosa,Lauraceae,,Supports bone fracture healing|Eases joint pain|Supports joints in inflammatory conditions|Helps manage diarrhea|Promotes wound healing|Reduces swelling|Builds strength and stamina,,low,internal,Glabrous Laurel
Meshashringi,Gymnema sylvestre,Apocynaceae,,Supports urinary health (including diabetes care)|Supports skin health in chronic conditions|Supports intestinal parasite management|Traditionally used in Ayurvedic management of toxins|Supports healthy blood sugar|Reduces excess fat,,low,internal,Gymnema
Mochras,Bombax ceiba,Malvaceae,,Helps manage diarrhea|Helps manage dysentery|Supports menstrual health (heavy bleeding)|Cools and soothes heat-related bleeding|Promotes wound healing|Helps control excess discharge or bleeding|Purifies and tones the blood,,low,internal,Silk Cotton Tree Resin
Mudga,Vigna radiata,Fabaceae,,Helps reduce fever|Cools and soothes heat-related bleeding|Supports eye health|Promotes wound healing|Improves nutrient absorption and helps manage diarrhea,,low,internal,Green Gram
Mudgaparni,Vigna trilobata,Fabaceae,,Supports chest and lung recovery|Cools and soothes heat-related bleeding|Helps reduce fever|Builds strength|Relieves burning sensation|Rejuvenating and vitalizing|Supports reproductive vitality|Supports eye health,,low,internal,Three-lobed Kidney Bean
Mulaka,Raphanus sativus,Brassicaceae,,Stimulates weak digestion|Helps manage hemorrhoids|Supports abdominal health|Relieves nasal congestion and cold|Eases cough|Stimulates digestion and appetite|Supports heart health,,low,internal,Radish
Muranji,Moringa concanensis,Moringaceae,,Reduces swelling|Supports resolution of abscesses|Supports intestinal parasite management|Supports healthy weight management|Antimicrobial and antiparasitic action,,low,internal,Konkan Moringa
Murva,Marsdenia tenacissima,Apocynaceae,,Helps reduce fever|Supports skin health in chronic conditions|Supports urinary health (including diabetes care)|Promotes wound healing|Supports intestinal parasite management|Purifies the blood,,low,internal,Marsdenia
Nadi Hingu,Gardenia gummifera,Rubiaceae,,Eases abdominal pain|Relieves bloating|Stimulates weak digestion|Supports intestinal parasite management|Relieves pain|Stimulates digestion and appetite,,low,internal,Gummy Gardenia
Nagabala,Grewia hirsuta,Malvaceae,,Supports chest and lung recovery|Supports recovery in debility|Cools and soothes heat-related bleeding|Builds strength|Soothes vata-related disorders|Builds strength and stamina|Rejuvenating; promotes vitality and immunity,,low,internal,Snake Mallow
Nagadanti,Heliotropium indicum,Boraginaceae,,Promotes wound healing|Relieves itching|Traditionally used in Ayurvedic management of venom exposure|Helps reduce fever|Supports skin health in chronic conditions|Reduces swelling,,low,internal,Indian Turnsole
Nagakesara,Mesua ferrea,Calophyllaceae,,Cools and soothes heat-related bleeding|Helps manage hemorrhoids|Supports menstrual health (heavy bleeding)|Quenches excessive thirst|Helps manage vomiting|Helps control bleeding|Stimulates digestion and appetite,,low,internal,Ironwood Tree
Nagarmotha,Cyperus rotundus,Cyperaceae,,Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Helps reduce fever|Quenches excessive thirst|Improves taste and appetite|Stimulates digestion and appetite|Aids digestion of food and toxins|Improves nutrient absorption and helps manage diarrhea,,low,internal,Nut Grass
Narikela,Cocos nucifera,Arecaceae,,Relieves burning sensation|Quenches excessive thirst|Supports recovery in debility|Builds strength|Builds strength and stamina|Nourishing and weight-building|Supports reproductive vitality,,low,internal,Coconut
Nikochaka,Pistacia vera,Anacardiaceae,,Builds strength|Soothes vata-related disorders|Supports recovery in debility|Supports healthy weight gain|Supports reproductive vitality|Builds strength and stamina,,low,internal,Pistachio
Nili,Indigofera tinctoria,Fabaceae,,Supports hair growth|Supports natural hair color|Supports liver and spleen health|Supports spleen health|Traditionally used in Ayurvedic management of toxins|Promotes hair health|Supports detoxification from poisons|Stimulates liver function,,low,internal,True Indigo
Nirgundi,Vitex negundo,Lamiaceae,,Soothes vata-related disorders|Supports joints in inflammatory conditions|Supports joint health|Reduces swelling|Supports intestinal parasite management|Relieves pain,,low,internal,Five-leaved Chaste Tree
Padmaka,Prunus cerasoides,Rosaceae,,Cools and soothes heat-related bleeding|Supports skin health in spreading rashes|Relieves burning sensation|Quenches excessive thirst|Supports a healthy pregnancy|Promotes healthy skin complexion|Helps control bleeding,,low,internal,Himalayan Wild Cherry
Palandu,Allium cepa,Amaryllidaceae,,Soothes vata-related disorders|Helps manage hemorrhoids|Supports male reproductive health|Improves taste and appetite|Reduces swelling|Supports reproductive vitality|Builds strength and stamina,,low,internal,Onion
Palankya,Spinacia oleracea,Amaranthaceae,,Supports healthy blood levels|Relieves constipation|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Supports healthy blood (hemoglobin),,low,internal,Spinach
Palasha,Butea monosperma,Fabaceae,,Supports intestinal parasite management|Traditionally used for mental-emotional balance|Supports skin health in chronic conditions|Helps manage hemorrhoids|Supports urinary health (including diabetes care)|Antimicrobial and antiparasitic action|Purifies the blood|Reduces swelling,,low,internal,Flame of the Forest
Panasa,Artocarpus heterophyllus,Moraceae,,Builds strength|Cools and soothes heat-related bleeding|Supports recovery in debility|Supports fertility (traditional use)|Builds strength and stamina|Nourishing and weight-building|Supports reproductive vitality,,low,internal,Jackfruit
Paribhadra,Erythrina variegata,Fabaceae,,Supports intestinal parasite management|Soothes vata-related disorders|Relieves itching|Promotes wound healing|Supports healthy weight management|Antimicrobial and antiparasitic action|Soothes excess vata,,low,internal,Indian Coral Tree
Parijata,Nyctanthes arbor-tristis,Oleaceae,,Eases sciatic pain|Supports joint health|Helps reduce fever|Eases cough|Supports intestinal parasite management|Soothes excess vata,,low,internal,Night-flowering Jasmine
Parnayavani,Coleus amboinicus,Lamiaceae,,Stimulates weak digestion|Aids digestion|Eases cough|Eases breathing and respiratory discomfort|Supports intestinal parasite management|Stimulates digestion and appetite|Aids digestion of food and toxins|Relieves cough,,low,internal,Indian Borage
Parpataka,Fumaria indica,Papaveraceae,,Helps reduce fever|Quenches excessive thirst|Cools and soothes heat-related bleeding|Relieves dizziness|Supports clarity of mind|Soothes excess pitta,,low,internal,Fine-leaved Fumitory
Pashanabheda,Bergenia ligulata,Saxifragaceae,,Supports urinary health (including diabetes care)|Helps manage hemorrhoids|Helps dissolve urinary stones|Promotes healthy urine flow,,low,internal,Stone Breaker
Patala,Stereospermum suaveolens,Bignoniaceae,,Eases breathing and respiratory discomfort|Reduces swelling|Soothes vata-related disorders|Relieves hiccups|Quenches excessive thirst|Supports healthy elimination of gas|Relieves pain,,low,internal,Trumpet Flower
