name,scientific_name,family,region,benefits,side_effects,toxicity
Jati,Jasminum grandiflorum,Oleaceae,,Supports oral and throat health|Supports dental health and eases toothache|Promotes wound healing|Supports skin health in chronic conditions|Supports intestinal parasite management|Relieves pain|Relieves cough,,low
Jatiphala,Myristica fragrans,Myristicaceae,,Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Eases breathing and respiratory discomfort|Eases cough|Promotes sleep|Stimulates digestion and appetite|Improves nutrient absorption and helps manage diarrhea,,low
Jayapala,Croton tiglium,Euphorbiaceae,,Supports abdominal health|Helps reduce fever|Relieves constipation|Supports fluid balance (adjunct care)|Purgative (professional use only),,low
Jeeraka,Cuminum cyminum,Apiaceae,,Aids digestion|Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Supports abdominal health|Supports intestinal parasite management|Stimulates digestion and appetite|Aids digestion of food and toxins|Improves nutrient absorption and helps manage diarrhea,,low
Jivaka,Malaxis acuminata,Orchidaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Builds strength|Relieves fatigue|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Rejuvenating and vitalizing,,low
Jivanti,Leptadenia reticulata,Apocynaceae,,Supports recovery in debility|Builds strength|Supports eye health|Cools and soothes heat-related bleeding|Soothes vata-related disorders|Supports breast milk production,,low
Jyotishmati,Celastrus paniculatus,Celastraceae,,Supports memory|Soothes vata-related disorders|Supports male reproductive health|Supports skin health in chronic conditions|Relieves itching|Supports memory and intellect|Purgative (professional use only)|Stimulates digestion and appetite,,low
Kachura,Curcuma zedoaria,Zingiberaceae,,Eases breathing and respiratory discomfort|Eases cough|Improves taste and appetite|Relieves hiccups|Promotes wound healing|Eases breathing|Soothes excess vata,,low
Kadali,Musa paradisiaca,Musaceae,,Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Quenches excessive thirst|Relieves burning sensation|Supports urinary health|Improves nutrient absorption and helps manage diarrhea|Builds strength and stamina,,low
Kadamba,Neolamarckia cadamba,Rubiaceae,,Helps reduce fever|Promotes wound healing|Relieves burning sensation|Cools and soothes heat-related bleeding,,low
Kadara,Senegalia suma,Fabaceae,,Supports skin health in chronic conditions|Relieves itching|Supports urinary health (including diabetes care)|Purifies the blood|Supports oral health (mouth ulcers),,low
Kakajangha,Peristrophe paniculata,Acanthaceae,,Helps reduce fever|Reduces swelling|Promotes wound healing|Cools and soothes heat-related bleeding|Supports intestinal parasite management,,low
Kakatikta,Luffa amara,Cucurbitaceae,,Supports liver health|Supports liver and spleen health|Supports abdominal health|Relieves constipation|Reduces swelling|Stimulates liver function|Purgative (professional use only),,low
Kakoli,Fritillaria roylei,Liliaceae,,Supports recovery in debility|Eases breathing and respiratory discomfort|Eases cough|Cools and soothes heat-related bleeding|Quenches excessive thirst|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Rejuvenating and vitalizing,,low
Kalajaji,Nigella sativa,Ranunculaceae,,Supports postpartum recovery|Stimulates weak digestion|Supports abdominal health|Relieves bloating|Supports intestinal parasite management|Stimulates digestion and appetite|Cleanses the uterus,,low
Kalamba,Ipomoea aquatica,Convolvulaceae,,Supports breast milk production|Builds strength|Relieves constipation|Cools and soothes heat-related bleeding|Builds strength and stamina,,low
Kamala,Nelumbo nucifera,Nelumbonaceae,,Cools and soothes heat-related bleeding|Relieves burning sensation|Quenches excessive thirst|Supports skin health in spreading rashes|Supports heart health|Promotes healthy skin complexion|Improves nutrient absorption and helps manage diarrhea,,low
Kampillaka,Mallotus philippensis,Euphorbiaceae,,Supports intestinal parasite management|Supports skin health in chronic conditions|Promotes wound healing|Supports abdominal health|Antimicrobial and antiparasitic action,,low
Kanchanar,Bauhinia variegata,Fabaceae,,Supports lymphatic health|Supports glandular health|Supports management of growths (traditional use; not a substitute for medical care)|Helps reduce excess fat|Reduces swelling|Helps resolve glandular swellings,,low
Kankataka,Flacourtia indica,Salicaceae,,Stimulates weak digestion|Eases cough|Eases breathing and respiratory discomfort|Supports liver health|Stimulates digestion and appetite|Relieves cough,,low
Kankola,Piper cubeba,Piperaceae,,Supports oral and throat health|Improves taste and appetite|Supports heart health|Eases cough|Promotes healthy urine flow|Stimulates digestion and appetite,,low
Kankra,Bruguiera gymnorhiza,Rhizophoraceae,,Helps manage diarrhea|Promotes wound healing|Helps manage dysentery|Helps control excess discharge or bleeding,,low
Kantakari,Solanum surattense,Solanaceae,,Eases cough|Eases breathing and respiratory discomfort|Helps reduce fever|Relieves nasal congestion and cold|Eases flank pain|Eases breathing|Relieves cough,,low
Kapikachhu,Mucuna pruriens,Fabaceae,,Supports male reproductive health|Soothes vata-related disorders|Eases tremors|Builds strength|Supports recovery in debility|Supports reproductive vitality|Builds strength and stamina|Supports memory and intellect,,low
Kapittha,Limonia acidissima,Rutaceae,,Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Relieves hiccups|Helps manage vomiting|Traditionally used in Ayurvedic management of toxins|Improves nutrient absorption and helps manage diarrhea|Stimulates digestion and appetite,,low
Karanja,Pongamia pinnata,Fabaceae,,Supports skin health in chronic conditions|Supports intestinal parasite management|Promotes wound healing|Helps manage hemorrhoids|Supports healthy elimination|Cleanses wounds|Antimicrobial and antiparasitic action,Seeds are toxic; external use preferred,medium
Karavira,Nerium oleander,Apocynaceae,,Supports skin health in chronic conditions|Promotes wound healing|Relieves itching|Supports intestinal parasite management|Supports urogenital health in chronic conditions|Cleanses wounds,,low
Karira,Capparis decidua,Capparaceae,,Supports joints in inflammatory conditions|Stimulates weak digestion|Helps manage hemorrhoids|Supports skin health in chronic conditions|Reduces swelling|Stimulates digestion and appetite|Soothes excess vata,,low
Karkatashringi,Pistacia integerrima,Anacardiaceae,,Eases cough|Eases breathing and respiratory discomfort|Relieves hiccups|Helps manage diarrhea|Helps reduce fever|Relieves cough|Eases breathing|Improves nutrient absorption and helps manage diarrhea,,low
Karmaranga,Averrhoa carambola,Oxalidaceae,,Improves taste and appetite|Stimulates weak digestion|Quenches excessive thirst|Relieves constipation|Stimulates digestion and appetite|Purgative (professional use only),,low
Karnikara,Pterospermum acerifolium,Malvaceae,,Promotes wound healing|Cools and soothes heat-related bleeding|Relieves headache|Supports skin health in chronic conditions|Reduces swelling,,low
Karpasa,Gossypium herbaceum,Malvaceae,,Supports breast milk production|Supports regular menstruation|Relieves dizziness|Builds strength|Builds strength and stamina,,low
Karpura,Cinnamomum camphora,Lauraceae,,Eases cough|Eases breathing and respiratory discomfort|Relieves itching|Quenches excessive thirst|Supports oral and throat health|Relieves cough|Eases breathing|Antimicrobial and antiparasitic action,,low
Karvellaka,Momordica charantia,Cucurbitaceae,,Supports urinary health (including diabetes care)|Supports skin health in chronic conditions|Supports intestinal parasite management|Supports liver health|Purifies the blood|Supports healthy blood sugar|Stimulates liver function,,low
Kasamarda,Senna occidentalis,Fabaceae,,Eases cough|Eases breathing and respiratory discomfort|Supports skin health in chronic conditions|Supports intestinal parasite management|Promotes wound healing|Relieves cough,,low
Kasani,Cichorium intybus,Asteraceae,,Supports liver and spleen health|Supports liver health|Supports spleen health|Stimulates liver function|Promotes healthy urine flow,,low
Kasheruka,Scirpus grossus,Cyperaceae,,Relieves burning sensation|Quenches excessive thirst|Cools and soothes heat-related bleeding|Builds strength|Supports reproductive vitality|Promotes healthy urine flow,,low
Kataka,Strychnos potatorum,Loganiaceae,,Supports eye health|Supports urinary health (including diabetes care)|Traditionally used in Ayurvedic management of toxins|Supports detoxification from poisons,,low
Katphala,Myrica esculenta,Myricaceae,,Eases cough|Eases breathing and respiratory discomfort|Helps reduce fever|Improves taste and appetite|Supports oral and throat health|Relieves cough,,low
Katuki,Picrorhiza kurroa,Plantaginaceae,,Supports liver health|Helps reduce fever|Supports liver and spleen health|Supports skin health in chronic conditions|Improves taste and appetite|Soothes excess pitta|Stimulates liver function,,low
Kembuka,Hellenia speciosa,Costaceae,,Eases cough|Eases breathing and respiratory discomfort|Supports skin health in chronic conditions|Supports intestinal parasite management|Supports urinary health (including diabetes care)|Relieves cough,,low
Ketaki,Pandanus odorifer,Pandanaceae,,Supports eye health|Supports skin health in chronic conditions|Supports memory and intellect,,low
Khadira,Acacia catechu,Fabaceae,,Supports skin health in chronic conditions|Supports intestinal parasite management|Supports urinary health (including diabetes care)|Cools and soothes heat-related bleeding|Purifies the blood|Improves nutrient absorption and helps manage diarrhea,,low
Kharbhuja,Cucumis melo,Cucurbitaceae,,Quenches excessive thirst|Relieves burning sensation|Relieves fatigue|Promotes healthy urine flow|Builds strength and stamina,,low
Kharjura,Phoenix dactylifera,Arecaceae,,Supports chest and lung recovery|Supports recovery in debility|Cools and soothes heat-related bleeding|Quenches excessive thirst|Supports clarity of mind|Builds strength and stamina|Supports reproductive vitality|Nourishing and weight-building,,low
Kiratatikta,Swertia chirata,Gentianaceae,,Helps reduce fever|Helps manage severe fever|Quenches excessive thirst|Supports intestinal parasite management|Cools and soothes heat-related bleeding|Stimulates digestion and appetite,,low
Kokilaksha,Asteracantha longifolia,Acanthaceae,,Supports joints in gout-like conditions|Supports male reproductive health|Supports reproductive vitality|Builds strength and stamina|Promotes healthy urine flow,,low
Koshamra,Schleichera oleosa,Sapindaceae,,Supports skin health in chronic conditions|Relieves itching|Promotes wound healing|Supports hair growth|Promotes hair health,,low
Koshataki,Luffa acutangula,Cucurbitaceae,,Supports skin health in chronic conditions|Supports liver health|Supports spleen health|Reduces swelling|Supports abdominal health|Stimulates liver function|Purgative (professional use only),,low
Krishna Jeeraka,Carum carvi,Apiaceae,,Aids digestion|Supports healthy digestion and nutrient absorption|Relieves bloating|Relieves pain|Supports intestinal parasite management|Stimulates digestion and appetite|Supports eye health,,low
Kshavaka,Centipeda minima,Asteraceae,,Relieves nasal congestion and cold|Eases cough|Eases breathing and respiratory discomfort|Supports intestinal parasite management|Relieves cough|Relieves pain,,low
Kulattha,Macrotyloma uniflorum,Fabaceae,,Supports healthy weight management|Eases cough|Eases breathing and respiratory discomfort|Helps dissolve urinary stones|Helps reduce excess fat|Relieves cough,,low
Kumbhika,Pistia stratiotes,Araceae,,Reduces swelling|Supports skin health in chronic conditions|Promotes wound healing|Cools and soothes heat-related bleeding,,low
Kumkuma,Crocus sativus,Iridaceae,,Supports skin clarity|Supports vision|Supports joints in gout-like conditions|Promotes healthy skin complexion|Supports breast milk production,,low
Kumuda,Nymphaea alba,Nymphaeaceae,,Relieves burning sensation|Cools and soothes heat-related bleeding|Helps reduce fever|Supports heart health|Cools the blood,,low
Kurabaka,Barleria cristata,Acanthaceae,,Reduces swelling|Eases joint pain|Cools and soothes heat-related bleeding|Eases cough|Supports skin health in chronic conditions|Relieves pain,,low
Kusha,Desmostachya bipinnata,Poaceae,,Cools and soothes heat-related bleeding|Supports menstrual health (heavy bleeding)|Promotes healthy urine flow,,low
Kushmanda,Benincasa hispida,Cucurbitaceae,,Supports mental calm|Supports nervous system health|Cools and soothes heat-related bleeding|Relieves burning sensation|Supports memory and intellect|Promotes healthy urine flow|Builds strength and stamina,,low
Kushtha,Saussurea costus,Asteraceae,,Soothes vata-related disorders|Eases cough|Eases breathing and respiratory discomfort|Supports skin health in chronic conditions|Relieves itching|Soothes excess vata|Supports reproductive vitality,,low
Kusumbha,Carthamus tinctorius,Asteraceae,,Helps manage hemorrhoids|Relieves constipation|Purifies the blood|Supports heart health|Relieves nasal congestion and cold|Purgative (professional use only),,low
Kutaj,Holarrhena antidysenterica,Apocynaceae,,Helps manage diarrhea|Helps manage dysentery|Supports healthy digestion and nutrient absorption|Helps manage hemorrhoids|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Antimicrobial and antiparasitic action|Relieves pain,,low
Lajjalu,Mimosa pudica,Fabaceae,,Cools and soothes heat-related bleeding|Helps manage diarrhea|Promotes wound healing|Supports urinary health (including diabetes care)|Relieves burning sensation|Helps control excess discharge or bleeding,,low
Laksha,Laccifer lacca,Kerriidae,,Supports bone fracture healing|Promotes wound healing|Cools and soothes heat-related bleeding|Eases cough|Supports skin health in chronic conditions|Supports bone healing|Helps control bleeding,,low
Lakuca,Artocarpus lacoocha,Moraceae,,Stimulates weak digestion|Supports liver health|Relieves bloating|Purifies the blood|Stimulates digestion and appetite|Stimulates liver function,,low
Langali,Gloriosa superba,Colchicaceae,,Supports skin health in chronic conditions|Promotes wound healing|Supports labor|Soothes vata-related disorders|Supports intestinal parasite management|Tones the uterus,,low
Lata Kasturi,Abelmoschus moschatus,Malvaceae,,Builds strength|Supports heart health|Supports male reproductive health|Supports reproductive vitality|Promotes healthy urine flow,,low
Latakaranja,Caesalpinia crista,Fabaceae,,Supports recovery in malarial fever (adjunct care)|Supports intestinal parasite management|Relieves pain|Supports joints in inflammatory conditions|Helps reduce fever|Antimicrobial and antiparasitic action,,low
Lavali,Phyllanthus acidus,Phyllanthaceae,,Improves taste and appetite|Stimulates weak digestion|Relieves constipation|Quenches excessive thirst|Stimulates digestion and appetite|Purgative (professional use only),,low
Lodhra,Symplocos racemosa,Symplocaceae,,Supports menstrual health (heavy bleeding)|Cools and soothes heat-related bleeding|Helps manage diarrhea|Supports eye health|Reduces swelling|Purifies and tones the blood|Supports uterine hygiene,,low
Madanaphala,Catunaregam spinosa,Rubiaceae,,Supports skin health in chronic conditions|Supports abdominal health|Helps manage hemorrhoids|Supports glandular health|Emetic (professional use only)|Helps reduce excess fat,,low
Madayantika,Lawsonia inermis,Lythraceae,,Supports skin health in chronic conditions|Relieves burning sensation|Supports liver health|Cools and soothes heat-related bleeding|Promotes wound healing,,low
Madhukarkati,Citrus maxima,Rutaceae,,Supports heart health|Improves taste and appetite|Stimulates weak digestion|Eases breathing and respiratory discomfort|Traditionally used in Ayurvedic management of toxins|Stimulates digestion and appetite,,low
Mahabala,Sida rhombifolia,Malvaceae,,Soothes vata-related disorders|Supports recovery in paralysis (adjunct care)|Builds strength|Supports recovery in debility|Supports chest and lung recovery|Builds strength and stamina|Supports heart health|Rejuvenating; promotes vitality and immunity,,low
Mahanimba,Melia azedarach,Meliaceae,,Helps manage hemorrhoids|Supports skin health in chronic conditions|Supports intestinal parasite management|Cools and soothes heat-related bleeding|Supports urinary health (including diabetes care)|Antimicrobial and antiparasitic action|Purifies the blood,,low
Makoy,Solanum nigrum,Solanaceae,,Supports liver and spleen health|Supports spleen health|Reduces swelling|Supports heart health|Helps manage hemorrhoids|Stimulates liver function|Supports reproductive vitality,,low
Mamsarohini,Soymida febrifuga,Meliaceae,,Helps manage diarrhea|Promotes wound healing|Cools and soothes heat-related bleeding|Builds strength|Helps manage dysentery|Improves nutrient absorption and helps manage diarrhea,,low
Mandukparni,Centella asiatica,Apiaceae,,Supports mental calm|Supports nervous system health|Supports skin health in chronic conditions|Supports urinary health|Eases cough|Supports memory and intellect,,low
Manjistha,Rubia cordifolia,Rubiaceae,,Supports skin health in chronic conditions|Supports skin health in spreading rashes|Promotes wound healing|Purifies the blood|Supports urinary health (including diabetes care),,low
Masha,Vigna mungo,Fabaceae,,Soothes vata-related disorders|Supports recovery in debility|Supports male reproductive health|Supports facial nerve comfort|Supports recovery in paralysis (adjunct care)|Builds strength and stamina|Nourishing and weight-building,,low
Mashaparni,Teramnus labialis,Fabaceae,,Soothes vata-related disorders|Supports reproductive vitality|Restores vitality and immunity|Cools and soothes heat-related bleeding|Reduces swelling|Nourishing and weight-building|Builds strength and stamina,,low
Masura,Lens culinaris,Fabaceae,,Helps manage diarrhea|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Builds strength and stamina,,low
Matsyakshi,Alternanthera sessilis,Amaranthaceae,,Cools and soothes heat-related bleeding|Supports skin health in chronic conditions|Eases cough|Supports eye health|Promotes healthy urine flow,,low
Matulunga,Citrus medica,Rutaceae,,Improves taste and appetite|Aids digestion|Helps manage vomiting|Relieves pain|Supports abdominal health|Stimulates digestion and appetite|Supports healthy elimination of gas,,low
Mayaphala,Quercus infectoria,Fagaceae,,Helps manage diarrhea|Cools and soothes heat-related bleeding|Supports oral and throat health|Supports menstrual health (leukorrhea)|Astringent; tones tissues|Helps control excess discharge or bleeding,,low
Mayurashikha,Actiniopteris radiata,Pteridaceae,,Helps manage diarrhea|Helps manage dysentery|Cools and soothes heat-related bleeding|Supports intestinal parasite management|Supports urinary health (including diabetes care)|Improves nutrient absorption and helps manage diarrhea|Helps control bleeding,,low
Meda,Polygonatum cirrhifolium,Asparagaceae,,Supports recovery in debility|Cools and soothes heat-related bleeding|Builds strength|Soothes vata-related disorders|Rejuvenating; promotes vitality and immunity|Nourishing and weight-building,,low
Medasaka,Litsea glutinosa,Lauraceae,,Supports bone fracture healing|Eases joint pain|Supports joints in inflammatory conditions|Helps manage diarrhea|Promotes wound healing|Reduces swelling|Builds strength and stamina,,low
Meshashringi,Gymnema sylvestre,Apocynaceae,,Supports urinary health (including diabetes care)|Supports skin health in chronic conditions|Supports intestinal parasite management|Traditionally used in Ayurvedic management of toxins|Supports healthy blood sugar|Reduces excess fat,,low
Mochras,Bombax ceiba,Malvaceae,,Helps manage diarrhea|Helps manage dysentery|Supports menstrual health (heavy bleeding)|Cools and soothes heat-related bleeding|Promotes wound healing|Helps control excess discharge or bleeding|Purifies and tones the blood,,low
Mudga,Vigna radiata,Fabaceae,,Helps reduce fever|Cools and soothes heat-related bleeding|Supports eye health|Promotes wound healing|Improves nutrient absorption and helps manage diarrhea,,low
Mudgaparni,Vigna trilobata,Fabaceae,,Supports chest and lung recovery|Cools and soothes heat-related bleeding|Helps reduce fever|Builds strength|Relieves burning sensation|Rejuvenating and vitalizing|Supports reproductive vitality|Supports eye health,,low
Mulaka,Raphanus sativus,Brassicaceae,,Stimulates weak digestion|Helps manage hemorrhoids|Supports abdominal health|Relieves nasal congestion and cold|Eases cough|Stimulates digestion and appetite|Supports heart health,,low
Muranji,Moringa concanensis,Moringaceae,,Reduces swelling|Supports resolution of abscesses|Supports intestinal parasite management|Supports healthy weight management|Antimicrobial and antiparasitic action,,low
Murva,Marsdenia tenacissima,Apocynaceae,,Helps reduce fever|Supports skin health in chronic conditions|Supports urinary health (including diabetes care)|Promotes wound healing|Supports intestinal parasite management|Purifies the blood,,low
Nadi Hingu,Gardenia gummifera,Rubiaceae,,Eases abdominal pain|Relieves bloating|Stimulates weak digestion|Supports intestinal parasite management|Relieves pain|Stimulates digestion and appetite,,low
Nagabala,Grewia hirsuta,Malvaceae,,Supports chest and lung recovery|Supports recovery in debility|Cools and soothes heat-related bleeding|Builds strength|Soothes vata-related disorders|Builds strength and stamina|Rejuvenating; promotes vitality and immunity,,low
Nagadanti,Heliotropium indicum,Boraginaceae,,Promotes wound healing|Relieves itching|Traditionally used in Ayurvedic management of venom exposure|Helps reduce fever|Supports skin health in chronic conditions|Reduces swelling,,low
Nagakesara,Mesua ferrea,Calophyllaceae,,Cools and soothes heat-related bleeding|Helps manage hemorrhoids|Supports menstrual health (heavy bleeding)|Quenches excessive thirst|Helps manage vomiting|Helps control bleeding|Stimulates digestion and appetite,,low
Nagarmotha,Cyperus rotundus,Cyperaceae,,Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Helps reduce fever|Quenches excessive thirst|Improves taste and appetite|Stimulates digestion and appetite|Aids digestion of food and toxins|Improves nutrient absorption and helps manage diarrhea,,low
Narikela,Cocos nucifera,Arecaceae,,Relieves burning sensation|Quenches excessive thirst|Supports recovery in debility|Builds strength|Builds strength and stamina|Nourishing and weight-building|Supports reproductive vitality,,low
Nikochaka,Pistacia vera,Anacardiaceae,,Builds strength|Soothes vata-related disorders|Supports recovery in debility|Supports healthy weight gain|Supports reproductive vitality|Builds strength and stamina,,low
Nili,Indigofera tinctoria,Fabaceae,,Supports hair growth|Supports natural hair color|Supports liver and spleen health|Supports spleen health|Traditionally used in Ayurvedic management of toxins|Promotes hair health|Supports detoxification from poisons|Stimulates liver function,,low
Nirgundi,Vitex negundo,Lamiaceae,,Soothes vata-related disorders|Supports joints in inflammatory conditions|Supports joint health|Reduces swelling|Supports intestinal parasite management|Relieves pain,,low
Padmaka,Prunus cerasoides,Rosaceae,,Cools and soothes heat-related bleeding|Supports skin health in spreading rashes|Relieves burning sensation|Quenches excessive thirst|Supports a healthy pregnancy|Promotes healthy skin complexion|Helps control bleeding,,low
Palandu,Allium cepa,Amaryllidaceae,,Soothes vata-related disorders|Helps manage hemorrhoids|Supports male reproductive health|Improves taste and appetite|Reduces swelling|Supports reproductive vitality|Builds strength and stamina,,low
Palankya,Spinacia oleracea,Amaranthaceae,,Supports healthy blood levels|Relieves constipation|Cools and soothes heat-related bleeding|Improves nutrient absorption and helps manage diarrhea|Supports healthy blood (hemoglobin),,low
Palasha,Butea monosperma,Fabaceae,,Supports intestinal parasite management|Traditionally used for mental-emotional balance|Supports skin health in chronic conditions|Helps manage hemorrhoids|Supports urinary health (including diabetes care)|Antimicrobial and antiparasitic action|Purifies the blood|Reduces swelling,,low
Panasa,Artocarpus heterophyllus,Moraceae,,Builds strength|Cools and soothes heat-related bleeding|Supports recovery in debility|Supports fertility (traditional use)|Builds strength and stamina|Nourishing and weight-building|Supports reproductive vitality,,low
Paribhadra,Erythrina variegata,Fabaceae,,Supports intestinal parasite management|Soothes vata-related disorders|Relieves itching|Promotes wound healing|Supports healthy weight management|Antimicrobial and antiparasitic action|Soothes excess vata,,low
Parijata,Nyctanthes arbor-tristis,Oleaceae,,Eases sciatic pain|Supports joint health|Helps reduce fever|Eases cough|Supports intestinal parasite management|Soothes excess vata,,low
Parnayavani,Coleus amboinicus,Lamiaceae,,Stimulates weak digestion|Aids digestion|Eases cough|Eases breathing and respiratory discomfort|Supports intestinal parasite management|Stimulates digestion and appetite|Aids digestion of food and toxins|Relieves cough,,low
Parpataka,Fumaria indica,Papaveraceae,,Helps reduce fever|Quenches excessive thirst|Cools and soothes heat-related bleeding|Relieves dizziness|Supports clarity of mind|Soothes excess pitta,,low
Pashanabheda,Bergenia ligulata,Saxifragaceae,,Supports urinary health (including diabetes care)|Helps manage hemorrhoids|Helps dissolve urinary stones|Promotes healthy urine flow,,low
Patala,Stereospermum suaveolens,Bignoniaceae,,Eases breathing and respiratory discomfort|Reduces swelling|Soothes vata-related disorders|Relieves hiccups|Quenches excessive thirst|Supports healthy elimination of gas|Relieves pain,,low
Patha,Cissampelos pareira,Menispermaceae,,Helps reduce fever|Helps manage diarrhea|Promotes wound healing|Supports intestinal parasite management|Supports detoxification from poisons|Improves nutrient absorption and helps manage diarrhea,,low
Patola,Trichosanthes dioica,Cucurbitaceae,,Helps reduce fever|Supports skin health in chronic conditions|Cools and soothes heat-related bleeding|Supports liver health|Quenches excessive thirst|Purifies the blood,,low
Pattanga,Biancaea sappan,Fabaceae,,Cools and soothes heat-related bleeding|Supports menstrual health (heavy bleeding)|Promotes wound healing|Relieves burning sensation|Supports oral and throat health|Helps control bleeding,,low
Pilu,Salvadora persica,Salvadoraceae,,Supports abdominal health|Helps manage hemorrhoids|Relieves bloating|Supports oral and throat health|Stimulates digestion and appetite|Reduces swelling,,low
Pippali,Piper longum,Piperaceae,,Eases cough|Eases breathing and respiratory discomfort|Supports spleen health|Supports abdominal health|Helps manage hemorrhoids|Rejuvenating; promotes vitality and immunity|Stimulates digestion and appetite|Relieves cough|Supports reproductive vitality,,low
Plaksha,Ficus infectoria,Moraceae,,Cools and soothes heat-related bleeding|Promotes wound healing|Relieves burning sensation|Supports vaginal health|Supports skin health in spreading rashes|Helps control bleeding,,low
Prapunnada,Senna tora,Fabaceae,,Supports skin health in fungal conditions|Supports skin health in chronic conditions|Relieves itching|Supports intestinal parasite management|Antimicrobial and antiparasitic action,,low
Prasarini,Paederia foetida,Rubiaceae,,Soothes vata-related disorders|Eases sciatic pain|Supports joint health|Supports recovery in paralysis (adjunct care)|Supports joints in inflammatory conditions|Soothes excess vata|Supports tissue repair and healing,,low
Prativisha,Aconitum palmatum,Ranunculaceae,,Helps manage diarrhea|Supports healthy digestion and nutrient absorption|Helps reduce fever|Supports intestinal parasite management|Traditionally used in Ayurvedic management of toxins|Stimulates digestion and appetite,,low
Prishniparni,Uraria picta,Fabaceae,,Helps reduce fever|Quenches excessive thirst|Helps manage diarrhea|Soothes vata-related disorders|Supports bone fracture healing|Builds strength and stamina|Supports reproductive vitality|Supports tissue repair and healing,,low
Priyala,Buchanania lanzan,Anacardiaceae,,Builds strength|Supports male reproductive health|Cools and soothes heat-related bleeding|Quenches excessive thirst|Supports chest and lung recovery|Supports reproductive vitality|Nourishing and weight-building,,low
Priyangu,Callicarpa macrophylla,Lamiaceae,,Cools and soothes heat-related bleeding|Relieves burning sensation|Helps reduce fever|Promotes wound healing|Eases intestinal pain|Promotes healthy skin complexion,,low
Puga,Areca catechu,Arecaceae,,Improves taste and appetite|Dries up excess moisture|Supports oral and throat health|Supports vaginal health|Supports intestinal parasite management|Stimulates digestion and appetite,,low
Punarnava,Boerhavia diffusa,Nyctaginaceae,,Reduces swelling|Supports healthy blood levels|Supports heart health|Supports abdominal health|Promotes healthy urine flow|Rejuvenating; promotes vitality and immunity,,low
Pushkarmool,Inula racemosa,Asteraceae,,Eases breathing and respiratory discomfort|Eases cough|Supports heart health|Eases flank pain|Relieves hiccups|Relieves cough|Eases breathing,,low
Putranjivaka,Putranjiva roxburghii,Putranjivaceae,,Supports fertility (traditional use)|Supports a healthy pregnancy|Restores vitality and immunity|Supports reproductive vitality,,low
Rajamasha,Vigna unguiculata,Fabaceae,,Supports breast milk production|Supports healthy weight management|Soothes excess vata,,low
Rajika,Brassica juncea,Brassicaceae,,Supports spleen health|Supports abdominal health|Supports intestinal parasite management|Relieves itching|Supports skin health in chronic conditions|Reduces swelling|Relieves pain,,low
Rakta Chandana,Pterocarpus santalinus,Fabaceae,,Cools and soothes heat-related bleeding|Quenches excessive thirst|Helps reduce fever|Supports skin health in spreading rashes|Promotes wound healing|Purifies and tones the blood|Relieves burning sensation,,low
Raktamoola,Plumbago indica,Plumbaginaceae,,Stimulates weak digestion|Helps manage hemorrhoids|Supports healthy digestion and nutrient absorption|Supports abdominal health|Supports intestinal parasite management|Stimulates digestion and appetite|Aids digestion of food and toxins|Helps reduce excess fat,,low
Rasna,Pluchea lanceolata,Asteraceae,,Supports joints in inflammatory conditions|Supports joint health|Eases sciatic pain|Soothes vata-related disorders|Reduces swelling|Soothes excess vata,,low
Renuka,Vitex agnus-castus,Lamiaceae,,Supports menstrual health|Soothes vata-related disorders|Stimulates weak digestion|Relieves headache|Stimulates digestion and appetite|Soothes excess vata,,low
Riddhi,Habenaria intermedia,Orchidaceae,,Supports chest and lung recovery|Cools and soothes heat-related bleeding|Builds strength|Soothes vata-related disorders|Rejuvenating; promotes vitality and immunity|Nourishing and weight-building,,low
Rishabhaka,Malaxis muscifera,Orchidaceae,,Supports chest and lung recovery|Cools and soothes heat-related bleeding|Relieves burning sensation|Eases breathing and respiratory discomfort|Rejuvenating; promotes vitality and immunity|Supports reproductive vitality|Nourishing and weight-building,,low
Rohisha,Cymbopogon martinii,Poaceae,,Supports joints in inflammatory conditions|Helps reduce fever|Relieves pain|Relieves itching,,low
Rohitaka,Tecomella undulata,Bignoniaceae,,Supports spleen health|Supports liver and spleen health|Supports abdominal health|Purifies the blood|Stimulates digestion and appetite|Aids digestion of food and toxins,,low
Rudraksha,Elaeocarpus ganitrus,Elaeocarpaceae,,Supports healthy blood pressure|Supports mental calm|Supports nervous system health|Supports heart health|Relieves headache|Supports memory and intellect,,low
Sadapushpi,Catharanthus roseus,Apocynaceae,,Supports urinary health (including diabetes care)|Supports blood health|Supports management of growths (traditional use; not a substitute for medical care)|Supports healthy blood sugar|Supports management of growths (traditional use),,low
Sahachara,Barleria prionitis,Acanthaceae,,Soothes vata-related disorders|Eases joint pain|Supports skin health in chronic conditions|Supports hair growth|Relieves pain|Soothes excess vata,,low
